INSTITUTION,EVENTS ,WEBSITE
MoMA,Lectures/ Panels,https://www.moma.org/calendar/
,Gallery Experiences ,
MET ,Exhibitions ,https://www.metmuseum.org/exhibitions
,Free Tours ,https://www.metmuseum.org/tours
Center for Women's History ,Exhibitions ,https://www.nyhistory.org/womens-history
Asia Society New York ,Conference/ Asia Society Policy Institute ,https://asiasociety.org/new-york/events
,Discussion/ Asia Society Policy Institute ,
,Special Events ,
,Meet the Author ,
,Exhibitions ,https://asiasociety.org/new-york/exhibitions/current
,Performance ,
The Frick Collection,Exhibitions ,https://www.frick.org/exhibitions
,Programs/ Gallery Talk ,https://www.frick.org/programs
,Featured Event ,
The New York Historical ,Exhibitions ,https://www.nyhistory.org/exhibitions
,Programs/ Gallery Tour ,https://www.nyhistory.org/programs
,Bryant Park ,
,Talks ,
,Education,
Morning Side Institute,Lunch Seminar ,https://www.morningsideinstitute.org/cal
,Dinner Seminar ,
,Lectures & Conferences ,https://www.morningsideinstitute.org/lectures-conferences
,Cultural Outings ,https://www.morningsideinstitute.org/lectures-conferences
New York Society Library,Seminar/ Reading Group ,https://www.nysoclib.org/events
,Lecture/ Panel ,
Albertine,Reading ,https://www.albertine.com/events/
,Albertine Book Clubs,
,Panel ,
,Talk ,
Rizzoli Bookstore,*All Events in their calendar*,https://www.rizzolibookstore.com/calendar
Grolier Club ,*All Events in their calendar*,https://www.eventbrite.com/o/the-grolier-club-30176517250
National Arts Club,*All Events in their calendar*,https://www.nacnyc.org/Default.aspx?p=v35Calendar&title=Events%20Calendar&view=l3&ssid=323485&vnf=1
,Current Exhibitions,https://www.nacnyc.org/arts-and-programs/exhibitions
Explorers Club,*All Events in their calendar*,https://www.explorers.org/calendar-of-events/month/
The Poetry Society of New York ,*All Events in their calendar*,https://poetrysocietyny.org/upcoming
L' Alliance New York ,*All Events in their calendar*,https://lallianceny.org/events/
